,fid,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,버스_distance,지하철_distance,거주인구,도로길이,경사도_mean
834,3566,0.0,1963.55,0.0,0.0,0.0,0.0,11606.97,2910.43,241.520156055708,1865.5457036715488,55.05369568176016,49.27680378234376,3186.9935,404.02182396036113,0.5
835,3565,0.0,8224.01,0.0,0.0,0.0,0.0,6233.03,0.0,217.26751655560363,1964.153875323254,105.4000385628682,140.14187523447268,3669.111,483.5212645515055,0.5
836,3564,0.0,2799.19,0.0,0.0,0.0,0.0,10351.84,0.0,236.8084068954092,2062.8960186323,157.92998929021746,238.43478968801384,3669.111,420.2729165841191,0.5
837,3571,14012.28,91.02,0.0,0.0,0.0,0.0,659.96,0.0,151.76355148836092,1375.521853400896,73.9971668866808,233.89725827942064,2704.876,327.04719851575726,0.5
838,3570,14012.28,895.47,0.0,0.0,0.0,0.0,1053.35,0.0,90.9373803269188,1472.9904009542468,36.79528017019966,168.49983219233513,2704.876,310.1535145601295,1.0
839,3569,0.0,11189.89,0.0,0.0,0.0,0.0,1697.3,0.0,116.21919420763524,1570.7771763364592,7.9938920142553,148.58102953842527,2704.876,241.9590489099352,1.0
840,3568,0.0,10071.99,0.0,0.0,0.0,0.0,2972.69,0.0,196.83510216591893,1668.8262397138687,107.45892152899576,167.34606535250828,2704.876,294.9553872274405,0.5
841,3575,0.0,4680.54,0.0,0.0,0.0,0.0,10404.18,0.0,323.64754887277564,990.7056088286351,143.57009195308063,599.9745761855065,2704.876,35.83817242092981,1.0
842,3574,0.0,2869.162,0.0,0.0,0.0,0.0,10821.39,0.0,313.1690457104707,1085.8814384716247,132.95289157462534,503.6410493626748,2704.876,296.9406140419515,1.0
843,3573,0.0,8004.2,0.0,0.0,0.0,0.0,11445.75,0.0,333.7691278616931,1181.8541609425708,116.9085172889815,409.0708789536344,2704.876,412.81031184004365,1.0
844,3572,0.0,9790.25,0.0,0.0,0.0,0.0,659.96,0.0,240.40508805167903,1278.444320775989,31.869983581983327,317.84198005295144,2704.876,343.6628683208426,0.5
845,3579,0.0,1798.2,0.0,0.0,0.0,0.0,0.0,0.0,542.3433316875254,625.2460842201001,154.48397747722802,992.5869547015452,2704.876,0.0,1.5
846,3578,0.0,1540.38,0.0,0.0,0.0,0.0,1108.59,0.0,494.7378854797044,713.143817061729,93.0395433643632,893.8200186244904,2704.876,24.211002096828995,1.666666666666667
847,3577,0.0,1718.16,0.0,0.0,0.0,0.0,10777.9,0.0,422.0107794366921,803.8752428471405,115.96239198747315,795.3612082662579,2704.876,118.2180386587016,1.0
848,3576,0.0,6113.42,0.0,0.0,0.0,0.0,8137.2,0.0,362.51963369481086,896.5804886230378,145.643742132564,697.3410502804707,2704.876,0.0,0.5
