,grid,rank
468,3840,1136
1382,1891,1137
3755,5621,1138
1103,8417,1139
1547,1360,1140
1519,1532,1141
1036,1011,1142
1415,1190,1143
1863,6295,1144
2815,4969,1145
2814,4970,1146
795,3527,1147
3217,5805,1148
1219,1717,1149
1479,1116,1150
1356,1808,1151
576,3229,1152
1914,6372,1153
1578,6816,1154
3468,5937,1155
1341,1799,1156
2979,4177,1157
2143,6491,1158
829,3563,1159
1620,6861,1160
4343,2084,1161
2731,5070,1162
2737,5072,1163
1100,8412,1164
1144,8599,1165
2827,4981,1166
3614,5153,1167
3807,5436,1168
700,3128,1169
1309,1979,1170
2380,7259,1171
170,2427,1172
1241,1538,1173
3268,5887,1174
2982,4182,1175
2581,4806,1176
1113,235,1177
1457,1099,1178
596,3268,1179
1272,1620,1180
4294,2262,1181
1988,6220,1182
2580,4807,1183
4106,3029,1184
1040,1012,1185
4295,2261,1186
1014,922,1187
2211,7734,1188
1337,2004,1189
1891,6323,1190
3618,5157,1191
3788,5423,1192
1524,1287,1193
1349,1807,1194
1514,1531,1195
1453,1029,1196
2984,4180,1197
2091,6400,1198
1342,1798,1199
1347,1801,1200
1463,1100,1201
1318,1986,1202
3230,5845,1203
2681,4716,1204
833,3567,1205
984,767,1206
2576,4803,1207
3229,5846,1208
2823,4977,1209
3234,5849,1210
2828,4980,1211
405,4009,1212
1273,1627,1213
1242,1537,1214
1489,1449,1215
1348,1800,1216
2981,4183,1217
3560,5331,1218
3184,5768,1219
57,2515,1220
1472,1115,1221
2886,4285,1222
1033,941,1223
1378,1887,1224
1702,6762,1225
269,3825,1226
2386,7260,1227
2053,6585,1228
1159,8679,1229
3565,5334,1230
4296,2260,1231
858,3354,1232
1350,1806,1233
1071,854,1234
137,2356,1235
2709,5044,1236
3239,5852,1237
581,3232,1238
1013,923,1239
1957,6195,1240
2515,7477,1241
3093,4360,1242
712,3140,1243
2629,4634,1244
714,3146,1245
4100,3027,1246
300,3627,1247
1383,1890,1248
1892,6322,1249
3351,6021,1250
344,3671,1251
908,3400,1252
1267,1619,1253
2571,4792,1254
2822,4978,1255
4371,2156,1256
478,3854,1257
1870,6296,1258
2396,7274,1259
1393,1896,1260
115,2338,1261
3440,6136,1262
2226,7798,1263
4273,2243,1264
501,3903,1265
910,3406,1266
2339,7174,1267
2374,7211,1268
2612,4619,1269
761,3470,1270
1313,1983,1271
935,3454,1272
2920,4350,1273
2275,7980,1274
1220,1716,1275
222,3759,1276
717,3149,1277
23,2444,1278
1044,1016,1279
3609,5150,1280
3721,5591,1281
3030,4527,1282
4107,3028,1283
2684,4721,1284
1053,834,1285
1466,1105,1286
1454,1028,1287
713,3147,1288
2723,5062,1289
4289,2259,1290
898,3394,1291
4337,2082,1292
3728,5592,1293
1118,8234,1294
1384,1889,1295
577,3228,1296
1379,1886,1297
3790,5421,1298
1419,1194,1299
1749,7115,1300
643,3317,1301
2772,4885,1302
2780,4893,1303
214,3751,1304
229,3760,1305
395,4003,1306
532,3928,1307
1989,6227,1308
2496,7458,1309
2237,8065,1310
1319,1985,1311
2446,7626,1312
2586,4809,1313
1077,8327,1314
141,2360,1315
1314,1982,1316
2876,4279,1317
2936,4110,1318
2668,4705,1319
1996,6228,1320
1170,8684,1321
80,2532,1322
1385,1888,1323
1268,1618,1324
1386,1895,1325
2651,4690,1326
1418,1195,1327
2290,7347,1328
3043,4538,1329
1211,1709,1330
1137,8590,1331
477,3855,1332
1465,1106,1333
2743,5082,1334
2965,4167,1335
2270,7978,1336
1310,1978,1337
2416,7294,1338
3613,5154,1339
392,3998,1340
661,3095,1341
1425,1196,1342
1051,9039,1343
1392,1897,1344
3723,5589,1345
2356,7189,1346
1305,1975,1347
580,3233,1348
1034,940,1349
1187,8501,1350
1628,6904,1351
1001,8776,1352
3677,5508,1353
3561,5330,1354
1462,1101,1355
1274,1626,1356
4293,2263,1357
2176,7884,1358
831,3561,1359
1015,927,1360
4290,2258,1361
3294,5676,1362
1901,6329,1363
902,3398,1364
3980,2615,1365
3981,2614,1366
985,766,1367
1464,1107,1368
3849,2703,1369
686,3118,1370
1206,1707,1371
1387,1894,1372
3292,5678,1373
1043,1017,1374
2253,8153,1375
3666,5247,1376
304,3631,1377
337,3662,1378
1166,8680,1379
1752,7112,1380
2344,7177,1381
2428,7562,1382
1447,1027,1383
3520,5249,1384
1793,6941,1385
305,3630,1386
2244,8146,1387
1665,6727,1388
2776,4889,1389
662,3094,1390
1743,7105,1391
3151,4448,1392
1072,853,1393
1851,6283,1394
1311,1977,1395
2328,7387,1396
3851,2701,1397
1388,1893,1398
3570,5337,1399
171,2426,1400
1213,1715,1401
2117,6461,1402
785,3494,1403
2626,4629,1404
4311,2052,1405
1320,1984,1406
2875,4272,1407
579,3234,1408
1882,6308,1409
1306,1974,1410
582,3237,1411
1192,8504,1412
4320,2067,1413
1351,1805,1414
3617,5158,1415
3659,5238,1416
3912,2776,1417
3983,2612,1418
2219,7791,1419
3235,5848,1420
2216,7737,1421
3612,5155,1422
2245,8145,1423
3316,5702,1424
1783,6935,1425
2832,4984,1426
351,3672,1427
2355,7190,1428
2385,7261,1429
1993,6231,1430
583,3236,1431
578,3235,1432
648,3320,1433
2217,7736,1434
2189,7704,1435
1380,1885,1436
1969,6207,1437
2429,7561,1438
1212,1708,1439
3406,6106,1440
1312,1976,1441
2046,6576,1442
3050,4547,1443
3287,5675,1444
3542,5309,1445
3850,2702,1446
538,3938,1447
4291,2257,1448
1042,1018,1449
3310,5692,1450
594,3270,1451
3296,5682,1452
3982,2613,1453
4332,2079,1454
136,2357,1455
543,3941,1456
2509,7469,1457
2720,5057,1458
2106,6417,1459
1074,8323,1460
960,679,1461
1022,928,1462
1207,1706,1463
4197,2879,1464
2476,7438,1465
1343,1797,1466
3921,2791,1467
1697,6759,1468
4300,2264,1469
3670,5507,1470
3568,5339,1471
1027,939,1472
705,3139,1473
184,3717,1474
909,3407,1475
3928,2792,1476
1627,6905,1477
3668,5245,1478
393,3997,1479
2768,4881,1480
3584,5352,1481
2520,7525,1482
2433,7615,1483
2238,8064,1484
3856,2704,1485
4341,2086,1486
4339,2080,1487
1041,1019,1488
810,3542,1489
961,678,1490
2069,6638,1491
3789,5422,1492
1339,1794,1493
2168,7878,1494
2267,7973,1495
2818,4974,1496
3853,2707,1497
215,3750,1498
3781,5414,1499
4251,2176,1500
593,3271,1501
3521,5248,1502
277,3833,1503
2335,7170,1504
3505,5972,1505
2680,4717,1506
22,2445,1507
3681,5512,1508
2279,8056,1509
3695,5530,1510
