,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
744,1251,111.50328953858956,1162.331152424386,1091.3658224584783,116.20471014939164,9.0,14978,0.0,0.0,0.0
745,1252,41.857919966655366,1253.927834524666,1189.881824613453,108.060059051284,14.666666666666698,14978,193.560405128771,842.04,0.0
746,1253,105.21749424782344,1346.720409334292,1288.6262781758912,163.65423541227767,18.5,14978,100.409544085337,0.0,0.0
747,1254,200.96987454076265,1440.4777846442832,1387.550411049993,223.55957553724068,14.25,14978,0.0,0.0,0.0
748,1255,299.51059012158413,1535.0231840612803,1486.6183544339945,212.5406695769086,14.0,14978,0.0,0.0,0.0
749,1262,1489.6415552533028,2379.305071423164,1798.86124327196,41.77564219271717,0.0,16285,0.0,0.0,0.0
750,1263,1419.3598987026055,2330.959677272233,1701.013633362558,70.99923406920756,0.0,16285,44.13003124683679,0.0,0.0
751,1264,1352.8239473584435,2285.968717596629,1603.4314861548594,158.85810978358342,0.0,16285,0.0,0.0,0.0
752,1265,1290.6131467811565,2244.533917139506,1506.1663992660071,117.13358335837688,0.0,16285,0.0,48.93,0.0
753,1266,1233.3821420575784,2206.8555909157985,1409.28402224226,149.01070957189253,0.5,16285,0.0,0.0,0.0
754,1268,1136.806311800886,2143.5411092152704,1217.0326808370849,107.52892249449272,7.5,16285,70.74789606150391,0.0,0.0
755,1269,1099.0343302415583,2118.2649222097484,1121.9230829387957,123.46387114922544,8.0,16285,106.06839359023,0.0,0.0
756,1270,1069.3100014244787,2097.4564694003534,1027.742089930408,190.5089373086575,5.66666666666667,16285,0.0,40153.61,0.0
757,1271,1048.3181057517045,2081.2497610823784,934.7704233558416,278.1070310528507,4.0,16285,121.648891339326,167.62,0.0
758,1272,1036.5892986819397,2069.752898675048,843.4081022377298,233.3530455548936,2.5,16285,0.0,0.0,0.0
759,1273,1034.4387120723277,2063.0446242724925,754.2401812677284,164.13640856490522,3.25,16285,0.0,44304.75,0.0
760,1274,1041.9256573881937,2061.1716931166643,668.1458049985849,117.4063733330118,4.33333333333333,16285,0.0,18349.85,0.0
761,1275,1058.845717568725,2064.1472674870406,586.4801139099632,143.62202743803587,5.0,16285,0.0,24953.26,0.0
762,1276,1084.7575689060095,2071.950458345694,511.36931161986473,178.83110398866904,4.0,16285,0.0,2110.46,0.0
763,1277,1086.6930686939827,2084.52705149289,446.13648505307947,79.33250223530159,2.5,16285,0.0,146.74,0.0
764,1278,988.5641828215204,2063.4612356410344,395.6974795286864,24.622429482155997,2.5,23329,276.365479836722,7251.65,0.2098521342193734
765,1279,890.8512752912183,1963.462552969512,366.2168331625796,122.14097641852857,2.0,23329,257.849520973995,13397.84,0.0644344143593223
766,1280,793.7079934964273,1863.4638872061007,362.83961202526194,180.01984069734797,1.0,14534,164.251253299153,44903.745,0.2999008688049941
767,1281,697.3724229665896,1763.4652412283367,386.2511369497346,186.55348416926697,1.5,7490,353.322380813237,42704.255,0.25895033305614207
