,grid,rank
1686,2323,1430
2112,2838,1431
741,1248,1432
249,538,1433
1914,2597,1434
2062,2777,1435
2258,3021,1436
1284,1853,1437
538,953,1438
1152,1705,1439
1276,1845,1440
2075,2790,1441
1082,1628,1442
1534,2144,1443
1336,1913,1444
2426,3272,1445
219,508,1446
1019,1553,1447
1693,2330,1448
340,690,1449
658,1132,1450
2393,3216,1451
1890,2563,1452
463,861,1453
2416,3262,1454
325,658,1455
685,1178,1456
1663,2300,1457
2588,3564,1458
733,1240,1459
557,990,1460
224,513,1461
1393,1977,1462
2083,2798,1463
512,927,1464
2437,3283,1465
2504,3396,1466
1515,2125,1467
1936,2619,1468
1625,2253,1469
1361,1945,1470
1467,2068,1471
519,934,1472
1308,1885,1473
810,1329,1474
829,1348,1475
1872,2545,1476
116,331,1477
1883,2556,1478
621,1074,1479
1277,1846,1480
2224,2973,1481
1356,1940,1482
1044,1584,1483
596,1049,1484
1879,2552,1485
257,568,1486
1390,1974,1487
1847,2511,1488
1649,2277,1489
885,1409,1490
1874,2547,1491
1634,2262,1492
504,919,1493
940,1469,1494
1326,1903,1495
93,279,1496
1850,2514,1497
1339,1916,1498
248,537,1499
456,838,1500
1729,2375,1501
287,598,1502
147,389,1503
468,866,1504
1177,1730,1505
871,1395,1506
499,897,1507
2115,2841,1508
2531,3447,1509
1257,1826,1510
1056,1596,1511
36,159,1512
1182,1735,1513
1366,1950,1514
1626,2254,1515
2318,3097,1516
1035,1575,1517
2341,3141,1518
1769,2424,1519
2176,2913,1520
1097,1643,1521
1028,1568,1522
2424,3270,1523
1253,1822,1524
2651,3950,1525
1495,2096,1526
1386,1970,1527
1232,1793,1528
976,1510,1529
2036,2740,1530
1529,2139,1531
980,1514,1532
1180,1733,1533
1598,2217,1534
1188,1749,1535
1157,1710,1536
1651,2279,1537
1683,2320,1538
1151,1704,1539
0,35,1540
1263,1832,1541
1871,2544,1542
500,898,1543
2351,3151,1544
2357,3157,1545
581,1014,1546
1231,1792,1547
267,578,1548
1452,2053,1549
1623,2251,1550
1699,2336,1551
2132,2858,1552
178,420,1553
1262,1831,1554
540,955,1555
1678,2315,1556
1315,1892,1557
993,1527,1558
657,1131,1559
773,1287,1560
1129,1675,1561
1230,1791,1562
1701,2338,1563
778,1292,1564
1570,2189,1565
1597,2216,1566
89,275,1567
902,1426,1568
2116,2842,1569
1504,2114,1570
862,1386,1571
1532,2142,1572
1632,2260,1573
1008,1542,1574
1323,1900,1575
2080,2795,1576
1420,2012,1577
2562,3505,1578
670,1163,1579
707,1214,1580
1838,2502,1581
2228,2977,1582
1977,2671,1583
2305,3084,1584
428,810,1585
1600,2219,1586
251,540,1587
1750,2396,1588
297,630,1589
2591,3567,1590
2535,3451,1591
476,874,1592
1899,2572,1593
2391,3214,1594
966,1495,1595
1307,1884,1596
2528,3444,1597
2561,3504,1598
1809,2473,1599
1021,1555,1600
1582,2201,1601
1234,1795,1602
1155,1708,1603
1765,2420,1604
1444,2036,1605
782,1296,1606
807,1326,1607
1546,2156,1608
743,1250,1609
1865,2538,1610
643,1117,1611
1805,2460,1612
2529,3445,1613
1778,2433,1614
900,1424,1615
1020,1554,1616
1455,2056,1617
304,637,1618
1392,1976,1619
1505,2115,1620
1731,2377,1621
1320,1897,1622
2195,2932,1623
699,1192,1624
2063,2778,1625
2533,3449,1626
911,1435,1627
1212,1773,1628
2539,3455,1629
1650,2278,1630
1994,2688,1631
1208,1769,1632
1210,1771,1633
1898,2571,1634
1037,1577,1635
2463,3332,1636
634,1108,1637
2567,3510,1638
349,699,1639
352,702,1640
1318,1895,1641
901,1425,1642
1677,2314,1643
2226,2975,1644
429,811,1645
1261,1830,1646
1767,2422,1647
2345,3145,1648
1507,2117,1649
796,1310,1650
1389,1973,1651
1835,2499,1652
1058,1598,1653
