,grid,rank
1626,2254,791
1774,2429,792
91,277,793
1570,2189,794
873,1397,795
588,1041,796
865,1389,797
226,515,798
1736,2382,799
817,1336,800
1725,2371,801
194,461,802
664,1157,803
2431,3277,804
2313,3092,805
1319,1896,806
1627,2255,807
626,1100,808
2128,2854,809
1317,1894,810
1385,1969,811
2560,3503,812
1818,2482,813
121,336,814
1219,1780,815
59,214,816
706,1212,817
711,1218,818
1263,1832,819
2565,3508,820
2224,2973,821
2641,3886,822
2222,2971,823
1867,2540,824
2421,3267,825
2533,3449,826
2642,3887,827
2347,3147,828
1367,1951,829
900,1424,830
1671,2308,831
155,397,832
1105,1651,833
1211,1772,834
264,575,835
2623,3708,836
298,631,837
1571,2190,838
2432,3278,839
1705,2351,840
1051,1591,841
1654,2291,842
1371,1955,843
1107,1653,844
1517,2127,845
594,1047,846
1865,2538,847
1368,1952,848
1817,2481,849
1378,1962,850
2269,3032,851
1472,2073,852
224,513,853
778,1292,854
1666,2303,855
2081,2796,856
1323,1900,857
2351,3151,858
459,857,859
636,1110,860
1678,2315,861
1783,2438,862
1501,2111,863
1516,2126,864
1110,1656,865
1464,2065,866
2274,3037,867
1223,1784,868
1888,2561,869
2455,3324,870
231,520,871
1503,2113,872
597,1050,873
995,1529,874
1422,2014,875
2507,3399,876
725,1232,877
1329,1906,878
201,468,879
272,583,880
153,395,881
955,1484,882
1816,2480,883
2346,3146,884
684,1177,885
637,1111,886
2227,2976,887
1227,1788,888
2456,3325,889
1331,1908,890
672,1165,891
547,980,892
1404,1996,893
1576,2195,894
34,157,895
125,340,896
2111,2837,897
484,882,898
1152,1705,899
1254,1823,900
2031,2735,901
66,221,902
2225,2974,903
2463,3332,904
584,1037,905
878,1402,906
154,396,907
847,1366,908
954,1483,909
997,1531,910
1539,2149,911
229,518,912
289,622,913
561,994,914
807,1326,915
598,1051,916
2078,2793,917
1175,1728,918
685,1178,919
831,1350,920
1524,2134,921
2532,3448,922
2378,3201,923
1939,2622,924
716,1223,925
1322,1899,926
1980,2674,927
1305,1882,928
1225,1786,929
181,448,930
1672,2309,931
1454,2055,932
1885,2558,933
710,1217,934
1786,2441,935
773,1287,936
2426,3272,937
2079,2794,938
1121,1667,939
1010,1544,940
504,919,941
2129,2855,942
302,635,943
1463,2064,944
2589,3565,945
1835,2499,946
1226,1787,947
1032,1572,948
1572,2191,949
157,399,950
2228,2977,951
2395,3218,952
2470,3339,953
680,1173,954
996,1530,955
95,281,956
345,695,957
1120,1666,958
2352,3152,959
623,1097,960
722,1229,961
1448,2049,962
1046,1586,963
168,410,964
723,1230,965
2086,2801,966
2301,3080,967
1384,1968,968
1621,2249,969
36,159,970
872,1396,971
1369,1953,972
829,1348,973
1210,1771,974
1318,1895,975
1013,1547,976
416,798,977
476,874,978
